customer_id,first_name,last_name,email,street,city,state,country
0,Crystal,Good,sherrideleon@example.org,7794 Leslie Circle,Toniland,Maryland,Chile
1,Daniel,Martin,broberts@example.org,0839 Cory Square,West Markbury,Wyoming,Israel
2,Julie,Lopez,vaughanwilliam@example.com,65271 Melinda Ports Suite 149,Katrinaland,Kentucky,Greece
3,Jesse,Flores,edward86@example.org,895 Kristine Dale Apt. 158,Amyview,New Mexico,Tuvalu
4,Juan,Moreno,richardsdevin@example.com,454 William Lights,Port Mark,Alaska,Maldives
5,Jerome,Monroe,debra87@example.org,35668 Cynthia Club Suite 959,South Zacharyborough,Ohio,Jamaica
6,Kimberly,Williams,turneraaron@example.com,059 John Meadow,Port Bryanmouth,Utah,Canada
7,Hunter,Sanchez,hbrown@example.net,183 Sheila Islands Apt. 424,Hudsonburgh,Minnesota,Romania
8,Sandra,Evans,tlewis@example.org,0823 Simmons Meadow Apt. 736,Perrytown,Ohio,Sao Tome and Principe
9,David,Schneider,kim89@example.org,786 Mckinney Crossroad,Port Mary,Georgia,Botswana
10,Kimberly,Sexton,reginajacobs@example.com,80870 Smith Brooks,South Teresa,Nevada,Bahrain
11,Tanya,Perez,davidsonmonica@example.net,61362 Shelly Fall,North Jeff,Alaska,Lesotho
12,Christopher,Ramirez,okelly@example.org,894 Roger Forks,East David,West Virginia,Cocos (Keeling) Islands
13,Daniel,Moore,ipowell@example.net,352 Abigail Loaf,Karaborough,West Virginia,South Africa
14,Tony,Mason,stephanie45@example.net,2181 Carolyn Orchard Apt. 024,North Hollyland,Nevada,Cocos (Keeling) Islands
15,Arthur,Marshall,kimberlyjones@example.org,7634 Blevins Green Suite 054,Lake Stephaniestad,Missouri,Bahamas
16,Regina,King,kmiles@example.org,251 Carr Forks,Stacyton,Iowa,Cyprus
17,Kevin,Williamson,qdudley@example.net,4079 Lutz Highway,Smithville,Oregon,France
18,John,Solis,annette78@example.org,534 Evan Lodge Apt. 294,East Josephhaven,North Carolina,Portugal
19,Rachel,Moon,loribrewer@example.com,899 Heather Lake Apt. 915,Port Johnside,Virginia,Brazil
20,Adam,Williams,herreratonya@example.org,6869 Edward Gateway,Jimenezmouth,Maine,Martinique
21,Amanda,Hill,lscott@example.org,6226 Mack Harbors,South Monicahaven,Maryland,Croatia
22,Kara,Dudley,matthew26@example.net,844 Smith Plaza,Amytown,Rhode Island,Dominican Republic
23,Samantha,Hanson,foleybrandon@example.net,567 Raymond Loaf,North Lindsey,Oregon,Mozambique
24,Joseph,Carroll,kirknguyen@example.com,7139 Ruiz Flat Apt. 386,Wellsport,Massachusetts,Cameroon
25,Bonnie,Martin,hansonjeremy@example.com,5313 William Road,Hunterside,Hawaii,North Macedonia
26,Emma,Small,ashleywalters@example.net,744 Robert Meadow Suite 293,Baileytown,Tennessee,Norway
27,Valerie,Martinez,davidkelly@example.net,9312 Martin Ports Apt. 850,Perezshire,Maine,Maldives
28,Emily,Rose,dixonsean@example.org,6323 Smith Passage,West Ronnie,Mississippi,Christmas Island
29,Robert,Brandt,douglasjames@example.net,51566 Marsh Track Suite 441,North Karenberg,Ohio,Nigeria
30,Evan,Fisher,sharon43@example.net,6345 Gonzalez Circle Suite 092,Lake Curtis,California,Paraguay
31,Richard,Richards,adavidson@example.com,779 Megan Plaza,Rodneyville,New York,Netherlands
32,Richard,Frederick,merrittraymond@example.com,506 Baker Prairie Suite 478,Donaldmouth,North Carolina,Guadeloupe
33,Patrick,Golden,ufox@example.com,6222 Velasquez Dam Suite 087,East Richard,Louisiana,Malawi
34,Jenny,Hughes,whitney79@example.org,959 Darius Dam,Dyerfort,Oregon,Nepal
35,Carol,Malone,ballstacey@example.org,750 Dominguez Springs Suite 621,Lake Matthewhaven,Kansas,Monaco
36,Johnny,Rivera,patricknguyen@example.net,7591 Lawrence Stream,Jonesborough,West Virginia,Qatar
37,Cassandra,Ross,mpatterson@example.org,51816 Melanie Haven,Hammondside,North Carolina,Iceland
38,April,Adams,jasonfox@example.com,4030 Wheeler Villages Apt. 189,South Jose,New York,Kenya
39,Jennifer,Thompson,deborahwoods@example.com,19145 Dominique Hill Apt. 467,North Curtis,Arkansas,Gibraltar
40,Tammy,Peterson,dawn91@example.org,60490 Matthew Bypass Suite 358,Jessicaburgh,Arkansas,Luxembourg
41,Tony,Kelly,freyrobert@example.com,01670 Jeffrey Manor,Lake Rebeccamouth,Arkansas,Tanzania
42,Frederick,Garcia,mccoycynthia@example.com,4706 Clarke Key Suite 789,Lake Anachester,New Hampshire,Hong Kong
43,Jonathan,Molina,lfleming@example.net,07955 Antonio Villages,Conniefurt,Delaware,Norfolk Island
44,Amanda,Baker,nicole50@example.org,620 Shaw Passage,Hermanbury,Tennessee,Samoa
45,Jessica,Smith,brandon91@example.com,70972 Pierce Street Suite 051,North Reginaberg,Pennsylvania,Nicaragua
46,Tonya,Conway,steverollins@example.com,61236 Carolyn Pass,West Johnny,Washington,San Marino
47,Brandy,Miller,eproctor@example.net,2846 Christian Drive Suite 728,North Anthonyville,Minnesota,Korea
48,Lisa,Daniels,mitchellfrazier@example.com,92389 Michael Mill,Jeffreyland,Illinois,Latvia
49,Christine,Daniels,stevensstacy@example.net,3919 Bennett Street Suite 960,Schwartzland,Ohio,China
50,Patricia,Estes,schmidtjose@example.net,57899 Rebecca Bypass Apt. 997,South Angela,New Hampshire,Heard Island and McDonald Islands
51,Robin,Braun,mauriceyoung@example.com,734 Roth Manors Suite 920,West Karen,Pennsylvania,Falkland Islands (Malvinas)
52,Penny,Meyer,edean@example.net,048 Stewart Brook,West Christian,Texas,Ghana
53,James,Flores,xbeck@example.com,9504 Nguyen Cliffs Suite 978,New Karenshire,Rhode Island,Oman
54,Troy,Allen,normanjennifer@example.com,340 Tapia Canyon,Johnsonshire,Vermont,Faroe Islands
55,Lisa,Davis,catherine19@example.com,789 Mitchell Plains,North Brandonbury,Wyoming,Somalia
