customer_id,first_name,last_name,email,street,city,state,country
0,Diane,Pittman,alexander85@example.net,590 Mark Inlet,North Davidshire,West Virginia,Jamaica
1,Debbie,Wilkins,christopher77@example.net,87570 Sherry Ferry,Krystalside,South Carolina,Djibouti
2,Cassandra,Price,gomezwarren@example.com,93700 Jackson Course Apt. 938,East Devon,South Carolina,Lao People's Democratic Republic
3,Pamela,Taylor,colton96@example.net,5752 Johnson Lakes Suite 304,Craigview,Georgia,French Southern Territories
4,April,Jennings,lisakennedy@example.org,0046 Matthew Circles Suite 440,Forbesmouth,Nevada,Marshall Islands
5,Sharon,Johnson,tammy05@example.net,79233 Nancy Well,Paulport,Ohio,Northern Mariana Islands
6,Luke,Bowen,qhodges@example.net,9312 Gerald Shoals Apt. 621,West Tyler,Rhode Island,Mauritania
7,Sheila,Bond,judith35@example.com,9032 Sharon Manors Suite 640,Wangport,Maryland,Iceland
8,Patrick,Oconnor,stephen26@example.org,58229 Katrina Plain,Justinberg,Alabama,El Salvador
9,Robert,Deleon,katherine60@example.org,7327 Jenkins Junctions,West Sandratown,New York,Cape Verde
10,Matthew,Daniels,richardalvarado@example.com,8775 Roberts Estates,Jeromeburgh,Maine,Mauritania
11,Tiffany,Walker,fsimmons@example.com,544 Lee Fall,North Daltonborough,Mississippi,Madagascar
12,David,Allen,francisalexander@example.com,180 Jake Burg Suite 735,Gardnerborough,Utah,Gabon
13,Kristen,Robertson,tgreer@example.org,318 Nelson Circle,Kimberlyborough,Nevada,Antigua and Barbuda
14,Brian,Vargas,jonathonfernandez@example.org,81151 Knight Harbors Apt. 073,New Kennethview,South Carolina,Mozambique
15,Darlene,Dean,parksbrianna@example.net,0160 Powell Lock Apt. 847,Combsport,New York,Argentina
16,Adam,Strickland,annameyers@example.com,6394 Gabrielle Lake Suite 408,North Heather,Michigan,Cote d'Ivoire
17,Garrett,Rowland,eleblanc@example.com,0755 King Trail Suite 450,Wilsonfurt,Arkansas,Kyrgyz Republic
18,Nicholas,Arroyo,smartinez@example.net,2489 Jessica Fall Apt. 370,West Laurenbury,New Hampshire,Burkina Faso
19,David,Nicholson,pricekevin@example.com,45939 Malone Springs Suite 394,West Valerie,Delaware,Ethiopia
20,Joshua,Anderson,loweerica@example.org,0600 Christopher Loaf,Nicholasville,Connecticut,Mauritania
