customer_id,first_name,last_name,email,street,city,state,country
0,Michael,Mitchell,ylopez@example.org,70268 Gonzalez Haven,Joneschester,West Virginia,Bermuda
1,Patrick,Lambert,wrightmegan@example.com,486 Campbell Radial,Feliciashire,Mississippi,Barbados
2,Jeremy,Ford,sandragregory@example.com,32029 Ayala Curve Suite 109,Port Sean,Alaska,Italy
3,Rose,Collins,lindseymaria@example.com,87845 Madden Row Suite 587,Michellemouth,Texas,Venezuela
4,Kimberly,Rivera,owright@example.com,160 Perez Squares Apt. 803,Brianstad,Georgia,Dominica
5,Deborah,Bass,jeremy52@example.com,387 Angela Manors Suite 269,Lake Tannerland,Virginia,Latvia
6,Marie,Roberts,kennedyrobert@example.com,642 Robert Courts Apt. 978,Buckville,Washington,Iceland
7,Sherry,Velazquez,mlang@example.net,8730 Strickland Expressway Suite 432,New Tylerberg,Idaho,Norfolk Island
8,Sara,Simmons,walterbarnes@example.com,3911 Brown Plain,North Nicholasfort,North Dakota,Czech Republic
9,Mark,Holmes,marystuart@example.org,6488 Adams Stravenue Apt. 421,Lauraton,South Carolina,Micronesia
10,Denise,Yates,bruce26@example.org,4259 Hill Springs,Geraldmouth,Minnesota,Guinea
11,Victoria,Osborn,fgreen@example.net,1908 Simpson Turnpike Apt. 711,Bettyfurt,Kentucky,Congo
12,Tony,Ramirez,gtran@example.com,83529 Elizabeth Branch,Maryland,Kentucky,Djibouti
13,Jeremy,Jones,deniseortiz@example.net,41751 Ochoa Groves Apt. 628,Sandersborough,Arkansas,French Polynesia
14,Timothy,May,ashleygonzalez@example.org,8403 Quinn Harbor Apt. 962,Kaylaburgh,California,Namibia
15,William,Pitts,abrown@example.org,7892 James Landing,New Erneststad,Idaho,Poland
16,Stephanie,Meadows,vickiboyd@example.net,21269 Thomas Cliffs,Thomasfurt,South Dakota,South Africa
17,Jason,Schultz,fharper@example.com,217 Welch Circle Apt. 312,South Guy,Idaho,Saint Kitts and Nevis
18,Kimberly,Hobbs,william31@example.org,079 Lee Circles Apt. 629,East Cynthiamouth,Minnesota,Gabon
19,Olivia,Johnson,baileymichelle@example.org,9390 Kathy Locks,Martinfurt,Georgia,Angola
20,Jeffrey,Newman,charlene85@example.com,9839 Marks Fords,Thomasberg,Wyoming,Guinea
21,James,Flores,joshuahunt@example.net,745 Roberts Alley Suite 135,Stacyborough,Colorado,Barbados
22,Debra,Ford,walter82@example.com,3072 Harry Dale,New Joycechester,South Carolina,Cyprus
23,Carol,Valencia,robertcortez@example.org,630 Cisneros Courts,New Wandaberg,Louisiana,Central African Republic
24,Amanda,Clark,seancox@example.org,0163 Roger Isle Suite 689,Robertchester,South Carolina,Pitcairn Islands
25,Benjamin,Arroyo,johnturner@example.org,011 Emily Fall,New Jamiechester,Pennsylvania,Grenada
26,Joseph,Reed,amy45@example.org,07918 Willie Ports,Mendezbury,Louisiana,Panama
27,Victoria,Haynes,victorwebb@example.com,6016 Matthew Turnpike Suite 305,Williammouth,Kentucky,Jersey
28,Patrick,Heath,kcastillo@example.org,1248 Morrison Route Suite 184,New Sarahbury,Delaware,Uzbekistan
29,Marcus,Solis,yeseniacarr@example.com,91047 George Camp,West Cynthia,Utah,United Arab Emirates
30,John,Wagner,ojensen@example.org,06284 Armstrong Plains Suite 749,Millerhaven,California,Iceland
31,John,Gomez,guzmanmary@example.net,19814 Jones Plain Apt. 769,Deanchester,Illinois,Russian Federation
32,Ariel,Williams,wgarner@example.com,840 Nolan Mills Apt. 658,Port Bethside,New York,Bangladesh
33,Jean,Fisher,nwilliams@example.com,919 Duke Flats,Lake Michelleview,Mississippi,Zimbabwe
34,Jessica,Mills,ramirezrobert@example.com,401 Robertson Street,Taylorton,New Mexico,Libyan Arab Jamahiriya
35,Jennifer,Johnson,catherine65@example.net,53291 James Centers Suite 166,Karenview,Colorado,Tanzania
36,John,Tapia,fguerrero@example.org,2760 Schroeder Lodge,North Joshua,South Carolina,Suriname
37,Brendan,Vazquez,vmedina@example.org,9718 Martin Lodge Apt. 524,New Heather,South Dakota,Syrian Arab Republic
38,Bradley,Chapman,dbutler@example.org,9577 Johnson Plain,East Melissaville,Arizona,Mexico
39,Jason,Harris,wardjessica@example.com,03786 Reilly Mountains Suite 964,North Ashley,New Hampshire,Poland
40,Samantha,Harris,jill79@example.net,0916 Johnson Garden,Doughertyton,Louisiana,Taiwan
41,Anna,Green,samanthalewis@example.com,5521 Patrick Crescent,East Christinefurt,Montana,French Southern Territories
